Afore	Trước
worry	lo
worse	tệ hơn
worst	tồi tệ nhất
Worth	Đáng giá
would	sẽ
wound	vết thương
woven	dệt
wowed	kinh ngạc
wrack	bọc lại
wramp	bọc lại
wrang	sự quấn quít
wraps	kết thúc
wrapt	bao bọc
wrast	bao bọc
Wrath	Cơn thịnh nộ
wrawl	quấn lấy nhau
wreak	làm hỏng
wreat	vòng hoa
wreck	xác tàu
wrest	đấu vật
wrick	vặn vẹo
wried	nhăn nhó
wrier	cổ tay
wryer	người vắt vẻo
wries	đồ chiên
wryly	nhăn nhó
wring	vặn
wrist	cổ tay
write	viết
writh	luồn lách
writs	văn vật
wrive	cổ tay
wroke	bơi lội
wrong	Sai lầm
wrote	đã viết
wrung	uốn éo
wudge	đi lang thang
Wuhan	Vũ Hán
wurly	sợ hãi
zebra	ngựa rằn
zeism	chủ nghĩa nhiệt thành
Zenas	Ngựa vằn
zeros	số không
ziffs	khóa kéo
zincs	kẽm
zippy	kéo dài
zoism	chủ nghĩa động vật
zonal	địa đới
zoned	khoanh vùng
zones	khu
zooms	phóng to
zoons	vườn thú
